SAMPLE	MHC	EC	SC	CP	AZ	IPS
TCGA-OR-A5J1-01	1.7089753108576	0.0617409292869806	-0.0254101050360448	0.341090544751083	2.08639667985962	7
TCGA-OR-A5J2-01	1.58489332763132	-0.00114997266008953	-0.00180294702044045	0.424125152235729	2.00606556018651	7
TCGA-OR-A5J3-01	1.9178089275022	-0.0539672435494563	0.148065767584718	0.395635594778465	2.40754304631592	8
TCGA-OR-A5J5-01	1.56355695022512	-0.0159377284816587	0.218585314965843	0.421369255625855	2.18757379233516	7
TCGA-OR-A5J6-01	2.1893773995916	0.0510014347026477	-0.269496962793718	0.243260163269034	2.21414203476956	7
TCGA-OR-A5J7-01	1.54254181801475	0.0246969053576625	0.166419020720812	0.498348070576883	2.23200581467011	7
TCGA-OR-A5J8-01	2.34254885545753	0.485235178560772	-0.82190945772299	0.0212581532680541	2.02713272956337	7
TCGA-OR-A5J9-01	1.42089058857449	-0.00314887440458242	0.185596419010898	0.481594113185712	2.08493224636652	7
TCGA-OR-A5JA-01	2.17974663360482	-0.0158297051263375	0.0685785731475248	0.380814399323544	2.61330990094956	9
TCGA-OR-A5JB-01	2.55014798418485	0.435960060699318	-0.690508487588781	-0.30018401548208	1.99541554181331	7
TCGA-OR-A5JC-01	2.27236514443713	0.0720469673446321	0.0272834242139283	0.330290335328343	2.70198587132403	9
TCGA-OR-A5JD-01	2.00811852434609	0.163738893134025	-0.251259834127821	0.431016553602996	2.35161413695529	8
TCGA-OR-A5JE-01	2.0327157899348	0.0683009948670954	-0.11929814447211	0.345365829315666	2.32708446964545	8
TCGA-OR-A5JF-01	1.65873222153365	-0.0501379001400372	0.148497287609062	0.414229987245018	2.17132159624769	7
TCGA-OR-A5JG-01	1.39497862123408	0.0451940916246218	0.075921431949698	0.304126969170332	1.82022111397873	6
TCGA-OR-A5JI-01	2.2641726773416	0.148844232442004	-0.112960637229733	0.419444419141472	2.71950069169535	9
TCGA-OR-A5JJ-01	1.76123076173731	0.0695271759317435	0.122737516044197	0.400053496841249	2.3535489505545	8
TCGA-OR-A5JK-01	2.85090111933695	0.324377154956113	-0.279498266506581	-0.00578664983257376	2.88999335795391	10
TCGA-OR-A5JL-01	2.53165909511423	-0.0115343547406256	0.024281620548794	0.44210401760746	2.98651037852986	10
TCGA-OR-A5JM-01	1.28292873626517	0.00640938686290106	0.294035252753719	0.508624400342227	2.09199777622402	7
TCGA-OR-A5JO-01	2.67636477248397	0.353385500521935	-0.65922765769042	0.145827196032378	2.51634981134786	8
TCGA-OR-A5JP-01	1.48558240200918	0.057664245541418	0.110598697489708	0.459559020580244	2.11340436562055	7
TCGA-OR-A5JQ-01	2.00458889208752	0.280680223934753	-0.204744559370896	0.336052011866883	2.41657656851826	8
TCGA-OR-A5JR-01	2.28516881241798	0.13687197592758	-0.0529953593861373	0.430373186867914	2.79941861582734	9
TCGA-OR-A5JS-01	1.53519219945995	-0.0115433382031928	0.184209659668273	0.489239890129959	2.19709841105499	7
TCGA-OR-A5JT-01	2.29726178839429	0.067075082045632	0.126133246781395	0.375507942809815	2.86597806003113	10
TCGA-OR-A5JV-01	2.65082422775289	0.275107365197915	-0.445891757435924	0.177137008296535	2.65717684381142	9
TCGA-OR-A5JW-01	1.85153169458438	0.0232213279651326	0.107900753649373	0.361257736714923	2.34391151291381	8
TCGA-OR-A5JX-01	1.93710613231713	0.0151917582585533	0.0548226929984973	0.195928604876461	2.20304918845064	7
TCGA-OR-A5JY-01	2.16161208841447	0.0750278932777006	-0.233386558193193	0.253655949647366	2.25690937314635	8
TCGA-OR-A5JZ-01	2.36653334461082	0.109326587685654	-0.0545143377877544	0.405017741679172	2.82636333618789	9
TCGA-OR-A5K0-01	2.20540368539516	0.0817371051956742	0.101900423780726	0.447324948691987	2.83636616306354	9
TCGA-OR-A5K1-01	2.44411836723033	0.101933942242223	0.021155485589573	0.440515944220773	3.0077237392829	10
TCGA-OR-A5K3-01	2.43962254696411	0.0694273447985967	-0.05342086065675	0.233530073827238	2.68915910493319	9
TCGA-OR-A5K4-01	1.7173311107609	0.0328601161071256	0.281561601409433	0.445703037892483	2.47745586616994	8
TCGA-OR-A5K5-01	1.57346104370228	0.00819912622554181	0.0727461430422942	0.411310788131001	2.06571710110111	7
TCGA-OR-A5K6-01	1.93957304563074	0.0310935895591766	-0.132922873617639	0.344388612838757	2.18213237441104	7
TCGA-OR-A5K8-01	1.76238194357497	-0.0167007817869672	0.138088420225865	0.379666297103557	2.26343587911743	8
TCGA-OR-A5K9-01	1.42336106579776	-0.0217989697764193	0.144221807182404	0.439710163836536	1.98549406704028	7
TCGA-OR-A5KO-01	1.55491078323977	-0.065363041101218	0.319617520057302	0.52977857482528	2.33894383702113	8
TCGA-OR-A5KT-01	2.13555130925157	0.132796662807305	-0.549971997859701	0.383991804100687	2.10236777829986	7
TCGA-OR-A5KU-01	1.56740817331612	-0.0501437772222309	0.210900163596141	0.365080971623563	2.09324553131359	7
TCGA-OR-A5KV-01	1.37779315365102	-0.124364045270616	0.234293015085692	0.489179541069761	1.97690166453586	7
TCGA-OR-A5KW-01	1.50334572662512	-0.0356871564136995	0.166711444528627	0.401324432434016	2.03569444717407	7
TCGA-OR-A5KX-01	2.01697842531074	-0.0499630699692265	0.0630095057846611	0.43718451321421	2.46720937434038	8
TCGA-OR-A5KY-01	1.32444321537008	0.0718637924873256	-0.0851261117763026	0.331453109818001	1.6426340058991	5
TCGA-OR-A5KZ-01	1.90997391396504	0.1388041881672	0.0437912675057502	0.48909169404802	2.58166106368601	9
