"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127"
"pDC",0,0.00897333333333339,0,1,0,1,1,0,0,0.755526666666667,0.162873333333333,0.638603333333333,0.0305566666666667,0,0.213836666666667,1,0.192696666666667,1,0,0,1,0.45924,0,0.29519,0,0.252456666666667,0,0.0958,0.07357,1,1,0.406793333333333,0,1,0.1374,0.64802,1,1,0.58265,0.369356666666667,0.247483333333333,0,1,1,1,0.0399066666666666,1,0.0335933333333334,1,0.648583333333333,0.384316666666667,0.10557,1,1,1,1,0.0274266666666667,0.579993333333333,1,1,1,1,1,1,0,1,1,1,0.6607,0.230826666666667,0,0.274303333333333,1,0.0117133333333334,0.558823333333333,0.106993333333333,0,0,0.172443333333333,0.151136666666667,0.215833333333333,0.0185866666666666,0.732946666666667,0.550666666666667,0.366696666666667,0.0620433333333333,1,1,1,0,1,1,0.0834866666666667,1,0.562,0,0.05371,1,0.0183233333333334,0.0106466666666667,1,0.0794333333333334,0.0724833333333333,0.197013333333333,0.0107366666666666,0.12824,0,0.343003333333333,1,0.42314,0,0.292303333333333,1,0,1,0.762956666666667,0,0,1,0,0.577076666666667,1,1,0,0.375653333333333,0.00113333333333332,0
"Monocytes",0,0.0598233333333333,0.0644533333333334,0,1,0.123126666666667,0.00341333333333338,0.08199,0.02868,0.255703333333333,0.0458333333333333,0.06748,0.0688933333333334,0.0159033333333334,0.15402,0.161616666666667,0,0,0.04819,0.01614,1,0.0206633333333334,0.118123333333333,0.0675,0.148836666666667,0.198366666666667,0.07479,0.102173333333333,1,0,0.103683333333333,0.0665966666666666,0.06602,1,1,0.232623333333333,0.0151033333333334,0.122076666666667,1,1,0.07085,0.0460166666666667,0.0478733333333333,0.0181733333333334,0.177936666666667,1,0.08876,0,1,0.0978133333333333,0,0.124136666666667,0.0179566666666666,0.02116,0.3169,0.25749,0.1135,0.171676666666667,0.0386166666666666,0.159136666666667,0.135753333333333,0.637766666666667,0.0824633333333333,0.03892,0.06138,1,0.174233333333333,0.0534466666666666,0.142173333333333,0.0924433333333333,0.125913333333333,0.22073,1,0.142933333333333,0.0830666666666666,0.0111933333333334,0,0.0247233333333333,1,0.0953333333333334,0.0045533333333333,0.0132233333333334,0.0987933333333333,0,1,1,0.0669366666666666,0,0,0.14139,1,0.0152633333333333,1,0.0898933333333334,0.0129466666666667,0.141476666666667,0.104433333333333,0.0486233333333334,0.10295,0,0.19304,0.127196666666667,0.148953333333333,0.0714966666666667,0.201793333333333,0.0227333333333334,0.0410933333333333,0.103856666666667,0.02588,0.139316666666667,1,0.13207,0.0859833333333333,1,1,1,0.19102,0,1,0.0455933333333334,0.27784,0,1,0.0362933333333333,0.00330333333333332,0.0108066666666666,0.00395333333333336
"aDC",0,0,0,1,0.0219966666666667,0.813893333333333,0,0.0405366666666667,0,0,0,0.00635666666666668,0,0.00524333333333338,0.00534000000000001,0.0117,0,6.66666666666593e-05,0.03633,0,1,0,0,0.00307999999999997,0,0,0,0,0.301553333333333,0,0,0,0.02398,0.04417,0.402473333333333,0.000196666666666623,0.02722,0,0,0.225373333333333,0,6.66666666666593e-05,0,0,0.000190000000000023,0.000829999999999997,1,0,0.827893333333333,0,0,0,0.000233333333333308,0.0360266666666667,0.0408133333333334,0.00785333333333338,0.0802133333333334,0,0.000196666666666623,0,0,0.000843333333333307,0.24145,0,0,0,0.771626666666667,0.961813333333333,0.0122466666666666,0,0.00761666666666672,0,0.0900233333333333,0,0,0.0186633333333334,0,0,0.00514999999999999,0,0,0,0,0,0.0045033333333333,0.0041566666666667,0,0,0,0,0,0,0.0661466666666667,0.0168766666666667,3.33333333335517e-06,0,0.0615933333333334,0.618416666666667,0.0599566666666667,0,0.0581266666666667,0,0,0.890173333333333,0,0,0,0,0,0.374306666666667,0.125446666666667,0.00226666666666664,0.00102333333333338,0,0.382313333333333,0.05449,0.00750666666666666,0,0.716733333333333,0.000170000000000003,0.0499933333333333,0,0,0,0,0,0
"Chondrocytes",0,0,0,0,0.0116633333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.00773666666666661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.00462333333333331,2.33333333333752e-05,0.19029,0.0337866666666666,0,0,0.00434333333333337,0,0,0,0,1,0.0147066666666666,0,0,0,0,0.210186666666667,0,0,0,0,0,0.0838066666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00163999999999997,0,0.177396666666667,0,0,0,1,1,0,0.00970333333333329,0,0,0,1,0,0,0,0,0,0,1,0
"Endothelial cells",0,0,0,0,1,0.212183333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000586666666666624,0.377393333333333,0,0,0,0.23193,0,0,0,0,0,0,0,1,0,0,0,0,0.314046666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.795826666666667,0,0,1,0,0,0,0,0,0,0,0.96878,0,0,0,0,0,0,0,0,0,0,1,0,0.362333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.00213666666666668,0,0,0,1,0,0.04336,0,0.0165866666666666,0,0
"Fibroblasts",0.00605,0,0,0,1,0.117663333333333,0,0,1,0.520516666666667,1,0,0,0.16236,1,0.00547333333333333,0.191163333333333,0.08301,0.0817166666666667,0.00266,1,0,1,0,0,0.0406366666666667,0,0,1,0,0.727473333333333,0,1,1,1,1,0.00146999999999997,0,0.113203333333333,0,0,0,0,0.607666666666667,0.19601,0.587186666666667,0.206553333333333,0.0132866666666667,0,0.00684666666666667,0,0,0,0,1,0.0475233333333334,0.00490333333333337,0,0.242823333333333,0,0.290883333333333,0.393283333333333,0,0,0.07251,0,0,0.67629,0.421133333333333,1,0,0.00761666666666672,1,0.00365666666666664,0,0,0,1,1,0.23123,0.0608933333333334,0,0.0160733333333334,0.38881,0.0566633333333333,0.228266666666667,0.000216666666666643,0,0.01219,1,0,0,0,0.137506666666667,0,0.0270566666666666,0.137633333333333,0,1,1,1,0.0484233333333334,0,1,0.0133766666666667,1,0,1,0,0,0.170486666666667,1,0.42404,0.275926666666667,1,0.0465233333333334,1,0.15715,1,0,0.0809566666666667,0,0.302063333333333,0,0,0.0208533333333333,0
"ly Endothelial cells",0,0,0,0,1,0.20847,0,0,0,0,0,0,0,0,0,0,0,0.682736666666667,0.260303333333333,0,0,0.14653,0,0,0,0,0.147996666666667,0.0635,0.237426666666667,0,0,0,0,0,0.588963333333333,0,0,0,0,0.298246666666667,0,0,0,0,0,0,0.0206733333333333,0,0,0,0,0,0,0,0,0,0.00181666666666669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4495,0,0,1,0,0,0,0,0,0,0.19298,0.01551,0,0,0,0,0,0,0,0.03157,0,0,0.422276666666667,0,0.524733333333333,0.136223333333333,0,0,0,0,0.0168033333333333,0,0,0,0,0,0,0.427203333333333,0,0,1,1,0,0,0,0.0616033333333333,0,0
"mv Endothelial cells",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375033333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235666666666666,0,0,0,0,0,0,0,0.00144666666666671,0,0,0,0,0,0,0,0,0,0,0.00417666666666672,0,0.375453333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megakaryocytes",0.736706666666667,0.0365633333333333,0.985543333333333,0.02698,1,0.51522,1,0,0.149503333333333,0.05683,0.698956666666667,0.0368433333333333,0,0.03978,0,3.66666666666848e-05,0,0.258373333333333,0.571913333333333,0.000659999999999994,1,1,0.0308066666666666,0,0,0.574166666666667,0.000390000000000001,0.02378,1,0.000516666666666721,0.142593333333333,0,0.50569,1,1,0.0687933333333334,0.342893333333333,0.0331566666666666,0.00246000000000002,0.00106666666666666,0.30537,0,0,0.12617,0.00697666666666663,0,0.95354,0.140336666666667,0,0.00244333333333335,1,0.02224,0,1,0.000303333333333322,0.161386666666667,0.0152866666666667,0.0189066666666666,0.770783333333333,0.0127233333333333,0.0921533333333333,0,0.0513233333333334,0.00269333333333333,0.0385533333333333,0,0.148053333333333,0.000443333333333351,0,0.0595433333333333,0,0,0.39401,0,0.01847,0.24497,0.0459433333333333,0.19652,0.323543333333333,0.00987666666666664,0.48439,1,0.000903333333333367,0.000376666666666692,0.000443333333333351,0.00434666666666672,0.03884,1,0.403393333333333,0.630236666666667,0.000319999999999987,0,0.0219966666666667,0,0.0216766666666667,0.245786666666667,0.00246333333333337,1,1,0.03537,1,0.00136666666666663,0.0236133333333334,0.87463,1,0.00558999999999998,0.03625,0.65402,0.00104666666666664,0.12543,0.00658999999999998,0.0334333333333333,0,0.0382233333333334,0.115276666666667,0,0.163826666666667,0.0352966666666666,0.227333333333333,1,1,0.387463333333333,3.33333333335517e-06,0,0.00929000000000002,0.0156066666666667,0.00160666666666665
"Smooth muscle",0,0,0,0,0,0,0,0,0,0.870553333333333,0,0,0,0,0,0,0.140193333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12356,0.0606033333333333,0.00527,1,0,0.113733333333333,0.0677,0.0276166666666666,0.28824,0.160523333333333,0,0,0,0,0,0.33006,0.05745,0,0.0029433333333333,1,1,0,0,0.258556666666667,0.532376666666667,0.227576666666667,0,0,0,0,0.02347,0,0.00463000000000002,0,1,0,1,1,0.925553333333333,0.22141,0,0,0,0.0410333333333334,0,0.119423333333333,0.167533333333333,0,1,0.0337133333333334,0,0,0.0351666666666667,0,0,0,0.06321,0,0.0071,0,0,0,0,0,0,0.0693666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0578466666666667,0,0,1,0,0,0.371146666666667,1,0,0,0,0
