"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133"
"Tgd cells",0.252043333333333,0.387953333333333,0.0510566666666666,1,0.09402,4.99999999999945e-05,0.46158,0.03577,0.02045,0.47206,1,0.121616666666667,0.111876666666667,1,0.780413333333333,0.521973333333333,0.0243100000000001,0.0925866666666667,0.0284033333333333,0.0318866666666666,0.0856333333333333,0.07495,0.101513333333333,1,0.0530266666666667,0.0537233333333333,0.000216666666666643,0.0212266666666666,0.444313333333333,0.1176,0.60425,0.207443333333333,1,1,0.352233333333333,0.362353333333333,0.106796666666667,0.303753333333333,0.02313,1,0.06911,0.0460766666666667,0.712253333333333,0.00317999999999996,0.661833333333333,0.0441433333333333,0.0100966666666666,0.829163333333333,0.302673333333333,0.221493333333333,0.02464,1,1,1,0.268813333333333,0.0242233333333334,0.0404766666666667,0.862206666666667,0.418936666666667,0.033,0.48704,1,0.34104,1,0.00280666666666662,0.140953333333333,1,1,0.806216666666667,0.136263333333333,1,0.08531,0.83499,0.0517133333333333,0.00827999999999995,0.0157233333333333,0.0521766666666666,0.926943333333333,0.851976666666667,1,0.846626666666667,1,0.99505,1,0.194296666666667,0.0774333333333334,0.128303333333333,0.01509,1,0.05913,0.113733333333333,0,0.160156666666667,0.18683,1,0.0493233333333334,0.208596666666667,0.436816666666667,1,1,0.785326666666667,0.416886666666667,0.53054,1,0.720613333333333,1,0.90289,0.0833,1,1,0.171906666666667,1,1,1,0.731813333333333,1,0.844736666666667,0.47006,1,0.986276666666667,1,0,0.165616666666667,0.0172600000000001,0.141143333333333,0,0.606836666666667,0.0162733333333334,0.03115,0.0847533333333333,0.402806666666667,0.01564,0
"Th1 cells",0.55377,0.317743333333333,0.120246666666667,1,0.0277433333333333,0,1,0,0.07651,0,0.2866,0.917426666666667,0.497203333333333,0.815863333333333,0.547616666666667,0.337296666666667,0.0103866666666667,0,0.09882,0,0,0,0.00348666666666664,0.341263333333333,0.000103333333333344,0.0427066666666667,0,0.0240899999999999,0.0516466666666666,0.0176933333333333,0.706173333333333,0.106076666666667,0.302433333333333,1,0.120133333333333,0.544646666666667,0.0335033333333333,0.0679233333333333,0.223966666666667,1,0.01347,0.000680000000000014,0.61808,0,0.287696666666667,0.0819533333333333,0,0.377716666666667,0.503006666666667,0.4624,0.103746666666667,1,0.35709,0.50219,0.317883333333333,0.00216666666666665,0.00457666666666667,0,0.260706666666667,0,0.144426666666667,0.460463333333333,0.38518,0.400476666666667,0,0.558723333333333,0.648406666666667,0.587763333333333,0.0458833333333334,0.0379233333333333,0.418876666666667,0.05105,0.157546666666667,0.751523333333333,0.00329333333333337,0,0.00621000000000005,0.0409433333333333,0,0.01309,0.00505,0.656313333333333,0.04621,0.795246666666667,0,0,0.0964066666666666,0.53373,0.0159366666666667,0,0.46503,0.1819,0.0493266666666666,0.416796666666667,0.289253333333333,0.195023333333333,0.0167733333333333,0.429126666666667,0.109733333333333,0.9311,0.174416666666667,0.0850366666666666,0.68293,0.666446666666667,0.5966,0.249803333333333,0.273533333333333,0.00152666666666668,0.0926366666666667,0.02115,0.06926,0.616626666666667,0.83069,0.665143333333333,0.53453,0.65473,0,0.90774,0.61074,0.40249,0.607776666666667,0.03133,0.0809766666666667,0.218856666666667,0.0662933333333333,0.131456666666667,1,0.149096666666667,0.0044966666666667,0.33995,0.0475066666666667,0.00051000000000001,0
"Th2 cells",0,0.000793333333333313,0,0.0238033333333333,0.00532999999999995,0.0148433333333333,0.0240666666666667,9.99999999995449e-06,9.99999999995449e-06,0.0613733333333333,0.0305800000000001,0.00410333333333335,0,0.39693,0.00123666666666666,0.235966666666667,0,0.01064,0,0.00209999999999999,0.110976666666667,0.00673000000000001,0,0.38076,0.00979333333333332,0,0,0.000473333333333326,0,0.0198,0.0534,0,0.0185066666666667,0.155706666666667,0,0.52675,0.134866666666667,0.5024,0.402193333333333,1,0,0.0169066666666666,0.0650733333333333,0,0.0105166666666666,0.19105,0.310106666666667,0.401046666666667,0.51453,0.0210766666666666,9.99999999995449e-06,0.73024,0.000366666666666626,0.00182333333333329,7.66666666666138e-05,0,0.00477666666666665,0.31945,0.000240000000000018,0,0.201246666666667,0.00823333333333331,0.236183333333333,0.192256666666667,0.0033266666666667,0.14514,0.571866666666667,0.0275133333333333,0.358703333333333,0.188796666666667,1,5.66666666667048e-05,0.0261666666666667,0.780166666666667,0,0,0.0107333333333334,0.00756666666666672,0.01529,0.47953,0.0672666666666667,1,0.298043333333333,0.0133633333333333,0.0067733333333333,0.00340333333333331,0,0,0.452223333333333,0.00448333333333328,0.0380566666666666,0,0.0282666666666667,0.06628,0.158383333333333,0.00327999999999995,0,0.33936,0.697236666666667,0.00250666666666666,0.29811,0.0087733333333333,0,0.400496666666667,0.17028,0.0432900000000001,0.104813333333333,0.209923333333333,0.108756666666667,0.115543333333333,0.0102833333333333,0.04918,0.0862766666666667,5.9999999999949e-05,0.0306033333333333,0.266423333333333,0.434726666666667,0.183583333333333,0.110383333333333,0.0698800000000001,0.7527,0,0.00156999999999996,0,0.000486666666666635,0,0,0,0,0.0156133333333334,0.00929000000000002,0,0
"Tregs",0.0414,0.259616666666667,0,0,0.0238433333333333,0,3.33333333335517e-06,0.16841,0,0.411593333333333,1,0,0.0231466666666666,0.0110266666666666,0.00623333333333331,0.48636,0.27522,0.000603333333333289,0,0.192923333333333,0,0.691796666666667,0.000110000000000054,0.15421,0.00399333333333329,0,0.00530666666666668,0,0.000179999999999958,0,0.0332366666666667,0.0182566666666667,0.291063333333333,0,0.280866666666667,0.0176166666666666,0.02727,0,0.0269166666666667,0.13831,0,0.0594266666666666,0.03839,0.00520333333333334,0.00118666666666667,0.0112333333333333,0.00344,0.0018866666666667,1,0,0,0.01249,0,0.0493933333333333,0,0.0336866666666666,0.00470000000000004,0.18876,0.0258066666666666,0.08924,0.0347533333333333,0.0560066666666666,0,0,0.00947666666666669,0.0029366666666667,0.29417,0,0.0714366666666667,0.0154033333333333,0.05284,0.102696666666667,0.00451333333333337,1,0.00702000000000003,0.01873,0,0.0696566666666667,1,0.01112,0.25422,0.443516666666667,0.0204366666666667,0,0.0752533333333333,0.10915,0.0335166666666666,0,0.325373333333333,0.0296066666666667,0,0,0.0214633333333333,0.00257333333333332,0.01228,0.0297933333333333,0.00589333333333331,0,1,0.0622233333333333,0.0417933333333333,0.59173,0,0.00603333333333333,0,0.0123066666666667,0.0852933333333333,0,0.51772,0,0.11941,0,0.0140233333333334,0.174816666666667,0,0,0.253216666666667,0,0.22769,0.00645333333333331,0.01579,0.03057,0,0.0147966666666667,0.01934,0.0180466666666667,0,0,0.00626333333333329,0.236826666666667,0.0123966666666666,0,0
"Memory B-cells",0,0.00135333333333332,0,0.00844333333333336,0,0,1,0,0,0,1,0,0,0.00248000000000004,0.15621,0,0.0978599999999999,6.66666666671034e-06,0,0.02495,0,1,0,0.78569,0,0,0,0,0,0,1,0,1,0,0.000953333333333362,0,0,0,0,0,1,0,0.00425666666666669,0.00173333333333336,0.000113333333333299,0.000219999999999998,3.33333333335517e-06,0,0.00487000000000004,0,0,0,0,0,0,0.00716666666666665,0.000133333333333319,1,0,0.000206666666666688,0,0,0,0.00244333333333335,0,0,1,0,0,0,1,0,0,0.374383333333333,0,0,0,1,1,1,0,1,1,0,1,6.66666666671034e-06,0.0607866666666667,0,0.274286666666667,0,0,0,0.00575000000000003,0,0.514886666666667,0.00145666666666666,0,0.000263333333333282,1,0,0,1,0,1,1,0,0.00319666666666663,0,0.000286666666666657,0,1,0,1,0,0,3.33333333335517e-06,1,0.00135333333333332,0.499263333333333,0,1,0.00632333333333335,3.33333333335517e-06,0,4.66666666666393e-05,1,1,1,0,0,0,0,0
"Class-switched memory B-cells",0.0792733333333333,0,0,0,0,0,1,0,0,0,0.486863333333333,0,0,0,0,0,0.03874,0.35772,0,0.821443333333333,0,1,0,1,0,0,0.6474,0,0,0,1,0,0.594683333333333,0,0,0,0.157146666666667,0,0.00051000000000001,0.00102333333333338,0,0,0,0,0,0,0,0,0.141653333333333,0,0,0,0,0,0,1,0.00992333333333328,1,0,0,0,0,0,0,0,0,0,0.0974533333333333,0,0.125863333333333,0,0,0,1,0,0,0,1,0.0207533333333333,0.66401,0,0.00477666666666665,0.0454633333333333,0,1,0.524593333333333,1,0,0.0307066666666667,0,0,0,0.0843699999999999,0,0,0,0,0,0.44673,0,0,1,0,0.0141166666666667,0.00453999999999999,0,0,0.06473,0,0,0.00461666666666671,0.00459666666666669,0.891306666666667,0,0,0,1,0,1,0,0,0,0.01134,0,0,0,0,0,0,0.01884,0,0,0
"naive B-cells",0.00603333333333333,1,0.00153999999999999,1,0.00490999999999997,0,1,0.00619999999999998,0.00827666666666671,0.0266966666666667,0.147216666666667,0.0519433333333333,0,1,1,0.115466666666667,1,0.05571,0.04843,1,0.14709,0.666666666666667,0.0169133333333333,1,0.304733333333333,0.00059666666666669,0.02663,0.0235066666666667,0.000703333333333278,0.0237433333333333,1,0.00292999999999999,0.666666666666667,0.00289666666666666,0.102736666666667,0.0170833333333333,0.666666666666667,0.07115,0.000279999999999947,1,0.666666666666667,0.499103333333333,1,0.0705533333333334,1,0.0467133333333334,0.00972666666666666,0,0.126063333333333,0.0216833333333334,0,0.00184666666666666,0,0,0.04036,0.00514666666666663,0.0162333333333333,0.666666666666667,0.000310000000000032,0.0353566666666667,0,1,0.0410833333333334,0.0112333333333333,0.0169933333333333,0,1,0.00102000000000002,1,0.0132,0.666666666666667,0.000796666666666668,0.00272666666666666,0.0610866666666666,3.33333333333297e-05,0.10085,0.0595066666666667,0.666666666666667,0.666666666666667,0.0512766666666666,0,1,0.0980133333333333,0.0477133333333334,1,1,0.19817,0,0.666666666666667,1,0.00418666666666667,0.0365633333333333,1,3.33333333333297e-05,0.24548,0.10881,0.00192333333333339,1,1,0.00909000000000004,0.122123333333333,1,0,0.39354,1,8.33333333333242e-05,0.164133333333333,0.000113333333333299,1,2.000000000002e-05,1,0,0.666666666666667,0.0124866666666666,0.09355,0.666666666666667,0.666666666666667,0.0218699999999999,0.0176433333333333,0.460616666666667,1,0.0108866666666667,0.00931666666666664,0.0617766666666667,1,0.0573866666666667,0.666666666666667,1,0,0.05886,0.0615733333333334,0.00327666666666671,0.03775
"NKT",0.0208933333333333,0,0.0385333333333333,0,0,0.0379699999999999,0.54569,0.147993333333333,0,0,1,0.0293966666666666,0.0346766666666667,0,0.0721833333333334,0.00944,0.209653333333333,0.0725866666666667,0.130646666666667,0.09826,0.000246666666666617,0.164656666666667,0.0640533333333333,0.0175866666666666,0.00765666666666664,0.0740433333333333,0,0,0.06007,0,0.18221,0,0.431173333333333,0,0.0152966666666666,0,0.000836666666666708,0,0.0142833333333333,0,0,0.04925,0.0961433333333334,0,0,0,0,0,0,0,0.0106333333333334,0,0,0.000743333333333318,0,0.0872433333333333,0.0641333333333334,0,0.0198933333333333,0.0391566666666666,0,0,0,0,0.05664,0,0,0,0,0,0.0329766666666667,0.01811,0,0,0,0,0.000600000000000045,0,0.0497766666666667,0,0,0,0,0,0.0533466666666667,0.109536666666667,0.336383333333333,0.0761966666666667,0,0.00946000000000002,0,0.52584,0,0,0,0.0390033333333333,0.111556666666667,0,0,0.000156666666666694,0,0.0339733333333333,0.0274766666666667,0.00568666666666662,0,0.000743333333333318,0.238566666666667,0,0.0154666666666666,0,0.0108200000000001,0,0,0.10024,0.02377,0,0,0,0.260363333333333,0,0.167533333333333,0.721703333333333,0,0.000736666666666719,0.115176666666667,1,0,0.01185,0.09922,0,0.0115566666666667,0,0.0944733333333333
"pro B-cells",1,1,0.290346666666667,1,0.128003333333333,0.25435,1,0.0910833333333333,0.140326666666667,0.474626666666667,0.1925,0.0670533333333333,0.07284,0.74138,1,0.48544,0.32935,0.485696666666667,0.19933,0.702483333333333,0.425733333333333,0.23088,0.237386666666667,1,0.305873333333333,0.29124,0.567586666666667,0.242723333333333,0.18709,0.2401,1,0.02787,1,1,1,0.46055,0.37412,0.461436666666667,0.323786666666667,0,0.32425,0.22758,1,0.172163333333333,1,0.295756666666667,0.257343333333333,0.228103333333333,0.51954,0.12499,0.189146666666667,0.22644,0.539913333333333,0.148853333333333,0.434956666666667,0.261793333333333,0.291196666666667,0.303696666666667,0.38184,0.325766666666667,0.409396666666667,0.67073,0.328953333333333,0.38006,0.103493333333333,0.128356666666667,0.56783,1,0.202283333333333,0.197256666666667,1,0.172006666666667,0.38832,1,0.0763,0.224253333333333,0.167783333333333,0.431693333333333,0.285923333333333,1,0.1481,0.568693333333333,1,0.62208,0.267496666666667,0.439813333333333,0.219236666666667,0.08667,1,0.546576666666667,0.676583333333333,0.154626666666667,1,0.32235,1,0.35979,0.67578,0.3905,1,0.3648,0.0562966666666667,0.60054,0.4079,1,0.360013333333333,0.46203,0.490596666666667,0.102636666666667,1,0.85068,1,1,1,1,1,1,0.857973333333333,0.351,0.325983333333333,1,1,0.14307,1,0.109766666666667,0.198306666666667,0.296576666666667,1,0.70044,0.0362,0.59471,0.462876666666667,0.208293333333333,0.45247
"Plasma cells",0,0.118416666666667,0.00984333333333332,0,0.04515,0,1,0,0,0.00656000000000001,0,0,1,0,0.73263,0,0,0,0,0,0,1,0,0.0746866666666667,0,0,0,0,0,0,0.0125933333333333,0.287986666666667,0.00807666666666662,0,1,0,0,1,0.07724,1,1,0,0.00315333333333334,1,1,0,0.0243066666666667,0.03165,1,0,0,0,1,0.151006666666667,0,0.00178999999999996,0.07414,1,0.0474566666666667,1,1,0,0,0.173023333333333,0.289036666666667,0,1,1,0,0.65046,0.26874,0,1,1,0,0.186906666666667,0,1,0.232133333333333,1,0.18899,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0.02766,0.44008,0.000786666666666713,0.0429266666666667,0,0.421103333333333,0.0668366666666667,1,1,0.02734,0.81389,0.03332,0,1,1,1,1,0,0.0575366666666667,0,1,0,0.15785,0,0.02695,0.00792333333333328,1,0,0,0,1,1,0,0,0,0,0.325186666666667
"MEP",0.109103333333333,0.137036666666667,0.155723333333333,1,0.0540066666666666,1,1,0,0.362653333333333,0.03893,0.00307333333333337,0.139603333333333,0.452326666666667,1,0.46506,0.153426666666667,0,0.113363333333333,0.0670966666666667,0.0868333333333333,0.0897366666666667,0,0.148856666666667,0.120686666666667,0.0577166666666666,0.1124,0.000870000000000037,0.803713333333333,0.117156666666667,0.220266666666667,0.100916666666667,0.07329,0.160963333333333,0.113046666666667,0.00911666666666666,1,0.0203633333333333,0.25876,0.18663,1,0.0767,0.0851766666666667,1,0.0353966666666666,1,0.160056666666667,0.151366666666667,0.157543333333333,0.175586666666667,1,0.267613333333333,1,0.0500766666666667,0.2298,0.147453333333333,0.0212133333333333,0.0131366666666667,0.0114533333333333,0.6322,0.0516333333333333,0.0471033333333334,1,1,1,0.00210999999999995,0.439823333333333,1,0.848476666666667,0.13375,0.296126666666667,0.0761066666666667,0.173093333333333,0.144756666666667,1,0.0818766666666667,0.0413333333333333,0.304696666666667,0.119536666666667,0.0657633333333333,0.0398566666666667,0.0216666666666666,0.101206666666667,1,1,0,0.0131666666666667,0.0159133333333333,0.921763333333333,0.00112666666666672,0.22895,0.179466666666667,0.05853,0.00200666666666671,1,0.14686,0.1199,0.0633533333333334,1,0.05043,1,1,0.0778666666666666,1,0.15011,1,0.11186,0.126246666666667,1,0.0228233333333333,0.20979,0,0.14757,1,0.217393333333333,0.114363333333333,0.05189,0,1,0.14503,0.0868666666666666,1,0,1,0.115463333333333,0.117586666666667,0.0232633333333333,1,0.0104333333333333,0.0126233333333333,0.0372233333333334,1,0.175383333333333,0.0326633333333334
"GMP",0.181956666666667,0.435316666666667,0.100853333333333,0.131723333333333,0.145706666666667,0.04005,0,0.53536,0.00200666666666671,0.183423333333333,0.20893,0.105483333333333,0.101973333333333,1,0.0698066666666667,0.42521,0.15732,0.104436666666667,0.00469666666666668,0.00917999999999997,0.05757,0.0769666666666666,0,0.446703333333333,0.11368,0,0.23517,0,0.0672133333333333,0.17272,0.458713333333333,0.258553333333333,0.226173333333333,0.932686666666667,0.000686666666666613,0.896123333333333,0.207243333333333,0.33954,0.195723333333333,0,0.178943333333333,0.01379,0.03196,0,0.124643333333333,0.31629,0.6887,0.159933333333333,0.21307,0.116263333333333,0.0430233333333333,0.607903333333333,0.37281,0.358056666666667,0.172723333333333,0.53993,0.47843,1,0.123733333333333,0.02284,0.41225,0.01829,0.172993333333333,0.215076666666667,0.44074,1,0.479743333333333,0.121713333333333,0.399686666666667,0.19068,0.91456,0.274053333333333,0.176756666666667,1,0,0,0.00591333333333333,0.380606666666667,0.110743333333333,0.26695,0.676406666666667,0.896423333333333,0.711473333333333,0.49017,0.263586666666667,0.154036666666667,0.140466666666667,0.135366666666667,0.90238,0.06764,0.0524066666666667,0.27538,1,0.261123333333333,0.141806666666667,0.381486666666667,0.146043333333333,0.175096666666667,1,0.0962533333333333,0.13812,0.0653366666666667,0.414036666666667,0.184713333333333,0.0409666666666667,0.487866666666667,0.20506,0.0299700000000001,1,0.0770666666666666,0.714073333333333,0.281686666666667,0.09419,0.823866666666667,0.0497166666666666,0.184443333333333,0.57953,0.000786666666666713,1,0.470216666666667,1,0.0970166666666666,0.0375,0,0.344346666666667,0.2323,0.14063,0.542203333333333,0.0501866666666667,0.778676666666667,0,0.0860566666666667,0.0664866666666667
"HSC",0,0.06224,0,0,0.07829,0.127646666666667,0,0.35699,0,0.0361266666666666,0,0.0373866666666667,0,0.00361666666666671,0.0124266666666667,0.16662,0.412553333333333,0.348686666666667,0.110173333333333,0.0525233333333334,0.36453,0.47844,0.190653333333333,0,0.231696666666667,0.17153,0.176056666666667,0.0812366666666666,0.0027666666666667,0.0354866666666667,0,0.192056666666667,0,0.0511166666666667,0.105716666666667,0,0.21679,0.00241000000000002,0.187353333333333,0,0.08018,0.0654566666666667,0,0.197593333333333,0,0,1,0,0.222616666666667,0.13097,0,0,0,0.0168933333333333,0.0382766666666666,0.0846666666666667,0.318746666666667,0.29484,0,0.00543333333333329,0,0,0,0.291183333333333,0.37076,0.0903333333333334,0.05292,0,0.00360000000000005,0,0.122096666666667,0.113673333333333,0.0699233333333333,0.259103333333333,0,0.0371866666666667,0,0.000843333333333307,0.0284766666666667,0.0722866666666667,0.19014,0,0,0,0.549263333333333,1,0.336643333333333,0,0.00902666666666663,0,0.0580933333333333,0,1,0.000340000000000007,0,1,0.09188,0.0335299999999999,0.0842733333333333,0,1,0.0374933333333334,0.200703333333333,0,0,0.0422866666666667,0,0.215733333333333,0,0.312463333333333,0.94387,0,0,0,0.0461833333333334,0.01793,0,0.0244133333333333,0.0193666666666666,0.0128033333333334,0,0.0399333333333334,0,0,0.169313333333333,0.154846666666667,0,0.38608,0.0883566666666666,0.215833333333333,0,0.156133333333333,0.347673333333333
"CLP",0,0.00367333333333331,0,0.666263333333333,0.00296333333333332,0,0.000436666666666641,0,6.66666666666593e-05,0,0,0.0724966666666667,0,1.33333333333097e-05,0,0,0,0,0,0.00334000000000001,0,0,0,0,0,0.17159,0,0,0,0,0.131703333333333,0,0,1,0.0932166666666666,1,0,0,0.228093333333333,0,0,0,0,0,0.0266733333333333,0,0.0164266666666667,0.10996,0,0.41453,0,0.510846666666667,0,3.33333333333297e-05,0.00119333333333338,0,0,0,0.10322,0.00141666666666662,0,0,0.0152633333333333,1,0,0,1,0.0839466666666666,0.0214966666666667,0.170576666666667,0,0.0371833333333333,0,0,0,0,0,0,0,0,0.415876666666667,0,0.0716,0.12719,0,0,0,0,0,0,0.0387833333333333,0,0,0,0,0,0,0.0263733333333334,0,0.00481666666666669,0.67919,0,0,0,0.17937,0,0,0.340053333333333,0,0.239196666666667,0,0,0.01297,0,0.0128433333333333,0.34898,0,0.0182033333333333,0,0,0,0,0,0,0,0,0.576133333333333,0.00261,0,0.628013333333333,0,0,0
"CMP",0.0691133333333334,0.00119999999999998,0.0118566666666666,0,0.06226,0.0638333333333333,9.66666666666338e-05,1,0,0.00348000000000004,0.0995366666666667,0.01616,0.02758,0.0566033333333333,0.000920000000000032,0.0608133333333334,1,0.557013333333333,0.1045,0.0354100000000001,1,1,0.0771866666666666,0.0109466666666667,0.0608866666666666,0.04466,0.0713533333333334,0.03357,0.0815900000000001,0.03037,0.01417,0.570833333333333,0.03468,0,0.00874333333333333,0.100443333333333,0.154553333333333,0.0618266666666667,0.0427333333333333,0.01215,0.06782,0.0458333333333333,0.02828,0.13208,0.08851,0.712333333333333,0.12588,0.000243333333333373,0.00281333333333333,2.66666666666193e-05,0.0614400000000001,0.0283133333333333,0.0784866666666667,0.00510999999999995,0.17632,0.84338,0.128006666666667,0.128663333333333,0.0322433333333333,0.0132333333333333,0.00958000000000003,0.0348433333333333,0.00797000000000003,0.000996666666666646,0.208903333333333,0.0504733333333334,0.00162666666666667,0,0.00217666666666672,0.0142833333333333,0.09548,0.111293333333333,0.321963333333333,0.380183333333333,0.00153999999999999,0.13085,0.00463999999999998,0.0470233333333333,0.04644,0.0918600000000001,0.0962166666666666,0.08666,0.145513333333333,0.0135333333333333,1,0.0652466666666667,1,0.00893999999999995,0.0938233333333334,0.00903666666666669,0.0571633333333333,1,1,0.0668833333333333,0,0.202263333333333,0.0191033333333334,0.09166,1,0.00387333333333328,0.150923333333333,0.05559,0.218843333333333,0.06893,0.05308,0.809406666666667,0,0.13099,0.0651066666666666,0.0095966666666667,1,0.0830566666666667,0,0.301816666666667,0.00401333333333331,0.0416866666666666,0.0509500000000001,0,0.23789,0.29188,1,0.11659,0.00459333333333334,0.00128666666666666,0.585573333333333,0.258393333333333,0.0323966666666666,0.000813333333333333,0.0118366666666667,1,0.0126733333333333,0.02834,0.0513966666666666
"Basophils",0.156856666666667,1,0.21303,0.28806,0.313596666666667,0.385453333333333,0.0779866666666666,0.252533333333333,0.14009,0.770956666666667,1,0.90251,0.124876666666667,1,1,1,0.115056666666667,0.103563333333333,0.146353333333333,0.16434,0.03124,0.44761,0.231843333333333,1,0.0699766666666667,0.0933666666666667,0.07706,0.137376666666667,0.548423333333333,0.302656666666667,0.00401333333333331,0.475766666666667,0.293573333333333,0.517293333333333,0.0745833333333333,1,0.468463333333333,0.663493333333333,0.110403333333333,0.585846666666667,0.171136666666667,0.458316666666667,0.610466666666667,1,1,1,0.0818266666666667,0.436823333333333,1,0.274523333333333,0.22204,1,1,1,0.434493333333333,0.157443333333333,0.356576666666667,1,1,0.139693333333333,1,0.22178,0.20248,0.75236,0.239326666666667,0.300886666666667,0.670443333333333,0.263703333333333,0.10054,0.110383333333333,1,0.178496666666667,0.0985733333333333,1,0.255146666666667,0.0690633333333334,0.14077,0.48925,0.650076666666667,0.211206666666667,0.36891,1,1,1,0.192206666666667,0.0610266666666667,0.0350266666666667,0.292356666666667,1,0.139176666666667,1,0.12513,1,0.32552,0.342716666666667,0.298763333333333,0.511553333333333,0.0213433333333334,0.911286666666667,0.0579033333333333,1,0.307803333333333,1,1,0.314956666666667,1,1,0.13162,0.36728,1,0.166816666666667,0.5768,1,1,1,0.16162,1,1,1,1,0.170376666666667,0.41837,0.22243,0.0668433333333334,1,1,0.0303266666666666,0.07,0.29001,1,0.74531,0.379333333333333,0.17318
"cDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949,0,0,0,0,0,0,0.000173333333333359,0,0,0,0,0,0,0,0,0.000306666666666677,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175333333333338,1,0,0,0,9.66666666666338e-05,0,0,0,0,0,0,1,0,0,0.000829999999999997,0,0,0,0,0,0,0,0,0,0,0,4.33333333332842e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229999999999952,0,0,0
"DC",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333297e-05,0,0,0,0,0,0,0.00693999999999995,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00548000000000004,0,0,0,0,0,0,0,0,0.0594733333333334,0,0,0,0,0,0,0,1,0,0,0,0,0.4885,0,0,0,0,0,1,0,0,0.05409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600133333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000279999999999947,0,0,0
"Eosinophils",0.06415,0,0,0,0,0,0,0,0.02881,0.00274333333333332,1,0.000630000000000019,0,0,0,0.0170933333333333,0,0,0.13414,0,0.08644,0,0.01576,0,0,0,0.0664466666666667,0,0.12169,0,0,0,0,0,0,0,0,0,0.00139,0,0,0.0622066666666666,0.01184,0,0,0.000813333333333333,0,0.39121,0,0,0,0,0.0225666666666666,0,0,0.14784,0,0,0,0,0.116993333333333,0,0,0,0.0569233333333333,0,0,0,0,0,0,0,0,0,0,0,0.0157566666666666,0,0,0,0,0,0,0,0.17112,0,0.467663333333333,0.01153,0.0208033333333333,0,0,0,0.00598333333333334,0,0,0,0.01871,0,0.04015,0.0177333333333334,0,0,0,0.0723966666666667,0,0.0105566666666667,0,0,0.0159733333333333,0,0.10677,0,0,0.15301,0.0969100000000001,0,0.10376,6.66666666671034e-06,0,0,0.04959,0.70749,0,0.0781166666666666,0.0164433333333334,0.22084,0,0.24604,0.0212933333333334,0,0,0,0
"iDC",0,1,0,0,0.372946666666667,0,0,0.00058333333333338,0,0.7223,0.861473333333333,0,0,0.0615933333333334,0,0,0,0,0,0,0.1388,1.33333333333097e-05,0,0,0,0,0,0.541246666666667,0,0,0,0,0,0,0,1.33333333333097e-05,0.03694,0,0.000110000000000054,0,0,0,0,0,0,0.000499999999999945,1,0.00146666666666662,0.613773333333333,0.83392,3.33333333333297e-05,0,0,0,0,0.00889666666666666,0.01754,1,0.67747,0,0.0185999999999999,0,0,0.0207533333333333,1,0,0,0,3.33333333333297e-05,0,0.05508,0,0,1,0,0,0,0,0,0,0.00568333333333337,0.840086666666667,0,0,0,0.14452,1,0,0,0,0,0,1,0,0,1,0,0.000759999999999983,0.24341,0.09449,0.0247833333333334,0,0,3.66666666666848e-05,0,0.000236666666666663,0,0,0,0,0.15891,0,0,1,0,0,0,0,0,0,0.759386666666667,0.0772133333333334,0,0,0.0057233333333333,1,0,0,0,1,0,0,0
"Macrophages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00688333333333335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00430666666666668,0,0,0,0,0,0,0.000383333333333291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
